127.0.0.1 - - [05/Feb/2021:20:03:35 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:36 +0800] "GET /PCA/index.jsp HTTP/1.1" 200 2781
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:37 +0800] "GET /PCA/js/jquery-3.4.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:37 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:37 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:37 +0800] "GET /PCA/Css/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:37 +0800] "GET /PCA/js/gVerify.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:37 +0800] "GET /PCA/img/season/ahead_blue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:37 +0800] "GET /PCA/img/background-photo/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/Css/Page_head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/season/ahead_yellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/season/winter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/lead_photo/%E9%80%80%E5%87%BA.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/Adminpages/img/%E7%AE%A1%E7%90%86%E5%91%98.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/level_photo/%E7%AD%89%E7%BA%A77.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/head_photo/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/lead_photo/%E4%B8%BB%E9%A1%B5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/lead_photo/%E6%B6%88%E6%81%AF.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/lead_photo/%E7%A7%AF%E5%88%862.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/lead_photo/%E4%BD%9C%E5%93%81.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/lead_photo/%E4%BB%BB%E5%8A%A1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/lead_photo/%E8%AE%BE%E7%BD%AE.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/lead_photo/%E4%BF%A1%E5%B0%81.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/head_photo/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/head_photo/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/dynamic_photo/%E6%BB%91%E5%8A%A8%E7%99%BB%E5%BD%95%E6%A1%86.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/example/%E7%82%B9%E8%B5%9E.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:54 +0800] "GET /PCA/img/theme_photo/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:55 +0800] "POST /PCA/Login HTTP/1.1" 200 26869
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:55 +0800] "GET /PCA/img/apartment_photo/%E5%AE%A3%E4%BC%A0%E9%83%A8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:03:55 +0800] "GET /PCA/img/pet_photo/cat.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:04:00 +0800] "POST /PCA/lead?page=4 HTTP/1.1" 200 10401
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:04:00 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:04:00 +0800] "GET /PCA/Css/Public_color/orange.css HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:04:00 +0800] "GET /PCA/img/decorate_photo/tree.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:04:01 +0800] "GET /PCA/official.jsp HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:04:04 +0800] "POST /PCA/lead?page=3 HTTP/1.1" 500 6056
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:23 +0800] "GET /PCA/Css/Public_color/orange.css HTTP/1.1" 404 722
