127.0.0.1 - - [02/Mar/2021:00:02:10 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:11 +0800] "GET /PCA/index.jsp HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:11 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:11 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:11 +0800] "GET /PCA/js/jquery-3.4.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/Css/Page_head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/season/spring.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/lead_photo/%E9%80%80%E5%87%BA.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/season/ahead_yellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/Adminpages/img/%E7%AE%A1%E7%90%86%E5%91%98.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/Adminpages/img/%E5%8F%8D%E9%A6%88.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/head_photo/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/lead_photo/%E4%BB%BB%E5%8A%A1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E5%BC%80%E5%AD%A6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/lead_photo/%E6%B6%88%E6%81%AF.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/lead_photo/%E4%B8%BB%E9%A1%B5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%8E%8B%E5%86%A0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/example/%E7%82%B9%E8%B5%9E.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%88%86%E7%AB%B9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/lead_photo/%E8%AE%BE%E7%BD%AE.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/lead_photo/%E4%BD%9C%E5%93%81.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%BD%91%E9%A1%B52.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/lead_photo/%E7%A7%AF%E5%88%862.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%BD%91%E9%A1%B5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%88%86%E7%AB%B92.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/dynamic_photo/%E6%BB%91%E5%8A%A8%E7%99%BB%E5%BD%95%E6%A1%86.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "POST /PCA/Login HTTP/1.1" 200 26720
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:26 +0800] "GET /PCA/img/pet_photo/cat.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "POST /PCA/Adminpages/date_details.jsp HTTP/1.1" 200 12589
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Css/Assignment.css HTTP/1.1" 200 4693
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Css/right.css HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Adminpages/img/%E8%BF%94%E5%9B%9E.png HTTP/1.1" 200 3855
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Adminpages/img/%E5%88%86%E6%9E%90white.png HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/img/season/ahead_white.png HTTP/1.1" 200 25802
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Adminpages/img/%E5%B8%83%E7%BD%AE%E4%BD%9C%E4%B8%9A.png HTTP/1.1" 200 6642
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Adminpages/img/%E6%89%B9%E6%94%B9white.png HTTP/1.1" 200 3783
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Adminpages/img/%E4%BD%9C%E5%93%81white.png HTTP/1.1" 200 7090
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Adminpages/img/%E5%85%AC%E5%91%8Awhite.png HTTP/1.1" 200 5966
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Adminpages/img/%E9%83%A8%E9%97%A8white.png HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Adminpages/img/%E5%B0%8F%E7%BB%84white.png HTTP/1.1" 200 11241
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Adminpages/img/%E6%88%90%E5%91%98white.png HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Adminpages/img/%E5%86%85%E5%AE%B9%20(1).png HTTP/1.1" 200 5786
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:29 +0800] "GET /PCA/Adminpages/img/%E6%97%A5%E5%BF%97.png HTTP/1.1" 200 3574
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:32 +0800] "POST /PCA/Adminpages/date_details.jsp HTTP/1.1" 200 12589
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:32 +0800] "GET /PCA/Css/right.css HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:32 +0800] "GET /PCA/Css/right.css HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [02/Mar/2021:00:02:33 +0800] "POST /PCA/Adminpages/sendmission.jsp HTTP/1.1" 200 15547
