127.0.0.1 - - [03/Apr/2021:19:00:33 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/index.jsp HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/js/verify.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/img/season/ahead_blue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/js/loading.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/js/verify.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/Css/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/Css/htmleaf-demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/Css/verify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/img/background-photo/login.png HTTP/1.1" 200 3562975
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/fonts/icomoon.eot? HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:04 +0800] "GET /PCA/fonts/iconfont.eot?t=1508229193188 HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:05 +0800] "GET /PCA/fonts/icomoon.woff?rretjt HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:05 +0800] "GET /PCA/fonts/icomoon.ttf?rretjt HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:15 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/Css/Page_head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/img/season/ahead_yellow.jpg HTTP/1.1" 304 -
