127.0.0.1 - - [16/May/2021:23:02:29 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:30 +0800] "GET /PCA/index.jsp HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:31 +0800] "GET /PCA/img/background-photo/login.png HTTP/1.1" 200 3562975
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:31 +0800] "GET /PCA/fonts/icomoon.eot? HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:31 +0800] "GET /PCA/fonts/iconfont.eot?t=1508229193188 HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:31 +0800] "GET /PCA/fonts/icomoon.woff?rretjt HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:31 +0800] "GET /PCA/fonts/icomoon.ttf?rretjt HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:38 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:41 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%BD%91%E9%A1%B5.jpg HTTP/1.1" 200 52873
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:41 +0800] "GET /PCA/img/theme_photo/1.png HTTP/1.1" 200 166386
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:42 +0800] "GET /PCA/img/dynamic_photo/%E6%BB%91%E5%8A%A8%E7%99%BB%E5%BD%95%E6%A1%86.png HTTP/1.1" 200 189006
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:42 +0800] "GET /PCA/img/apartment_photo/%E5%AE%A3%E4%BC%A0%E9%83%A8.png HTTP/1.1" 200 227449
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:42 +0800] "POST /PCA/Login HTTP/1.1" 200 33197
0:0:0:0:0:0:0:1 - - [16/May/2021:23:02:42 +0800] "GET /PCA/img/pet_photo/cat.gif HTTP/1.1" 200 503982
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:46 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:48 +0800] "POST /PCA/lead?page=4 HTTP/1.1" 200 14422
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:48 +0800] "GET /PCA/Css/Public_color/orange.css HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:48 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:48 +0800] "GET /PCA/img/theme_photo/1.png HTTP/1.1" 200 166386
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:48 +0800] "GET /PCA/chat_room.jsp HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:48 +0800] "GET /PCA/official.jsp HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:50 +0800] "GET /PCA/chat_room_messages.jsp HTTP/1.1" 200 15391
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:50 +0800] "GET /PCA/img/head_photo/14.jpg HTTP/1.1" 200 47041
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:50 +0800] "GET /PCA/img/head_photo/1.jpg HTTP/1.1" 200 33098
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:50 +0800] "GET /PCA/img/head_photo/5.jpg HTTP/1.1" 200 31574
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:50 +0800] "GET /PCA/img/head_photo/18.jpg HTTP/1.1" 200 21471
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:50 +0800] "GET /PCA/img/head_photo/frank.jpg HTTP/1.1" 200 3985
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:51 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:57 +0800] "GET /PCA/chat_room_messages.jsp HTTP/1.1" 200 15391
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:57 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:57 +0800] "GET /PCA/img/head_photo/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:57 +0800] "GET /PCA/img/head_photo/18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:57 +0800] "GET /PCA/img/head_photo/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:57 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:57 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:57 +0800] "GET /PCA/img/head_photo/frank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:57 +0800] "GET /PCA/img/head_photo/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:04:57 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:04 +0800] "GET /PCA/chat_room_messages.jsp HTTP/1.1" 200 15391
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:04 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:04 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:04 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:04 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:04 +0800] "GET /PCA/img/head_photo/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:04 +0800] "GET /PCA/img/head_photo/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:04 +0800] "GET /PCA/img/head_photo/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:04 +0800] "GET /PCA/img/head_photo/frank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:04 +0800] "GET /PCA/img/head_photo/18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:10 +0800] "GET /PCA/chat_room_messages.jsp HTTP/1.1" 200 15391
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:10 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:10 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:10 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:10 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:10 +0800] "GET /PCA/img/head_photo/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:10 +0800] "GET /PCA/img/head_photo/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:10 +0800] "GET /PCA/img/head_photo/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:10 +0800] "GET /PCA/img/head_photo/frank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:10 +0800] "GET /PCA/img/head_photo/18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:17 +0800] "GET /PCA/chat_room_messages.jsp HTTP/1.1" 200 15391
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:17 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:17 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:17 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:17 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:17 +0800] "GET /PCA/img/head_photo/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:17 +0800] "GET /PCA/img/head_photo/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:17 +0800] "GET /PCA/img/head_photo/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:17 +0800] "GET /PCA/img/head_photo/frank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:17 +0800] "GET /PCA/img/head_photo/18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:24 +0800] "GET /PCA/chat_room_messages.jsp HTTP/1.1" 200 15391
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:24 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:24 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:24 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:24 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:24 +0800] "GET /PCA/img/head_photo/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:24 +0800] "GET /PCA/img/head_photo/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:24 +0800] "GET /PCA/img/head_photo/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:24 +0800] "GET /PCA/img/head_photo/frank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:24 +0800] "GET /PCA/img/head_photo/18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:31 +0800] "GET /PCA/chat_room_messages.jsp HTTP/1.1" 200 15391
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:31 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:31 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:31 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:31 +0800] "GET /PCA/img/head_photo/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:31 +0800] "GET /PCA/img/head_photo/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:31 +0800] "GET /PCA/img/head_photo/frank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:31 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:31 +0800] "GET /PCA/img/head_photo/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:31 +0800] "GET /PCA/img/head_photo/18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:38 +0800] "GET /PCA/chat_room_messages.jsp HTTP/1.1" 200 15391
